component,system,scenario,cost_type,cost_usd,unit,assumption_type,justification,source,confidence_or_uncertainty
data_acquisition,Search_Oriented_System,MEDIUM,one_time,1000000.0,USD,assignment_input,"Assignment-provided rule: USD 1,000 per 100,000 words. Applied identically to both architectures since both require the same acquired Bengali corpus.",Assignment brief,0
data_acquisition,LLM_Oriented_System,MEDIUM,one_time,1000000.0,USD,assignment_input,"Assignment-provided rule: USD 1,000 per 100,000 words. Applied identically to both architectures since both require the same acquired Bengali corpus.",Assignment brief,0
preprocessing_setup,Search_Oriented_System,MEDIUM,one_time,35000,USD,modelling_assumption,Illustrative one-time cost: fixed pipeline setup plus cleaning/normalization/tokenization effort that scales sub-linearly with corpus size due to automation economies of scale.,Scenario assumption — not sourced from real vendor pricing,30
preprocessing_setup,LLM_Oriented_System,MEDIUM,one_time,42000,USD,modelling_assumption,"Same base cleaning pipeline as Search_Oriented_System plus additional tokenizer-training / model-specific data preparation effort, scaled sub-linearly with corpus size.",Scenario assumption — not sourced from real vendor pricing,30
indexing_or_training,Search_Oriented_System,MEDIUM,one_time,50000.0,USD,modelling_assumption,"Illustrative inverted-index build cost of $0.50 per 1,000 tokens processed, an order-of-magnitude assumption for distributed indexing throughput, not sourced from real vendor pricing.",Scenario assumption — not sourced from real vendor pricing,25
indexing_or_training,LLM_Oriented_System,MEDIUM,one_time,17600.0,USD,formula_derived,"Derived from the Approach B (adapt existing multilingual model) formula in src/cost_model.py: accelerators(16) x cost_per_hour($2.5) x adaptation_hours(240) + one-time storage provisioning($8,000). Accelerator count and adaptation hours are scaled illustratively with the corpus-size scenario.",Derived from src/cost_model.py Approach B formula,20
engineering_setup,Search_Oriented_System,MEDIUM,one_time,45000,USD,modelling_assumption,"Illustrative one-time engineering integration cost covering system integration, initial evaluation/benchmark set construction, and QA, assumed to scale sub-linearly with system size.",Scenario assumption — not sourced from real vendor pricing,35
engineering_setup,LLM_Oriented_System,MEDIUM,one_time,55000,USD,modelling_assumption,"Illustrative one-time engineering integration cost covering model integration, initial evaluation/benchmark set construction, and QA, assumed to scale sub-linearly with system size. Slightly higher than Search_Oriented_System to reflect model-serving integration overhead.",Scenario assumption — not sourced from real vendor pricing,35
storage,Search_Oriented_System,MEDIUM,recurring_annual,12000,USD,modelling_assumption,"Illustrative annual storage cost for corpus plus inverted-index artifacts, assuming typical cloud object-storage pricing order of magnitude, scaled with corpus/index size.",Scenario assumption — not sourced from real vendor pricing,25
storage,LLM_Oriented_System,MEDIUM,recurring_annual,9000,USD,modelling_assumption,"Illustrative annual storage cost for corpus plus model checkpoint artifacts, assuming typical cloud object-storage pricing order of magnitude, scaled with corpus/model artifact size.",Scenario assumption — not sourced from real vendor pricing,25
compute,Search_Oriented_System,MEDIUM,recurring_annual,20000,USD,modelling_assumption,"Illustrative annual compute cost for periodic reindexing cycles as new data arrives, scaled with corpus size assuming reprocessing volume proportional to corpus growth.",Scenario assumption — not sourced from real vendor pricing,30
compute,LLM_Oriented_System,MEDIUM,recurring_annual,30000,USD,modelling_assumption,"Illustrative annual compute cost for incremental model refresh / periodic re-adaptation cycles, scaled with corpus size. Assumed higher than Search_Oriented_System's reindexing cost since model refresh is more compute-intensive per unit of new data.",Scenario assumption — not sourced from real vendor pricing,30
serving_inference,Search_Oriented_System,MEDIUM,recurring_annual,25000,USD,modelling_assumption,Illustrative annual serving cost assuming a fixed estimated query volume that scales with corpus/system size; search retrieval assumed cheaper per-request than LLM generation.,Scenario assumption — not sourced from real vendor pricing,35
serving_inference,LLM_Oriented_System,MEDIUM,recurring_annual,40000,USD,modelling_assumption,Illustrative annual inference-serving cost assuming a fixed estimated request volume that scales with corpus/system size; LLM generation assumed more compute-intensive per request than search retrieval.,Scenario assumption — not sourced from real vendor pricing,35
maintenance_operations,Search_Oriented_System,MEDIUM,recurring_annual,15000,USD,modelling_assumption,"Illustrative annual cost covering ongoing relevance evaluation, monitoring, and operational engineering support, assumed to scale sub-linearly with system size due to largely fixed headcount overhead.",Scenario assumption — not sourced from real vendor pricing,30
maintenance_operations,LLM_Oriented_System,MEDIUM,recurring_annual,18000,USD,modelling_assumption,"Illustrative annual cost covering ongoing output-quality evaluation, monitoring, and operational engineering support, assumed to scale sub-linearly with system size due to largely fixed headcount overhead.",Scenario assumption — not sourced from real vendor pricing,30
data_acquisition,Search_Oriented_System,LARGE,one_time,10000000.0,USD,assignment_input,"Assignment-provided rule: USD 1,000 per 100,000 words. Applied identically to both architectures since both require the same acquired Bengali corpus.",Assignment brief,0
data_acquisition,LLM_Oriented_System,LARGE,one_time,10000000.0,USD,assignment_input,"Assignment-provided rule: USD 1,000 per 100,000 words. Applied identically to both architectures since both require the same acquired Bengali corpus.",Assignment brief,0
preprocessing_setup,Search_Oriented_System,LARGE,one_time,80000,USD,modelling_assumption,Illustrative one-time cost: fixed pipeline setup plus cleaning/normalization/tokenization effort that scales sub-linearly with corpus size due to automation economies of scale.,Scenario assumption — not sourced from real vendor pricing,30
preprocessing_setup,LLM_Oriented_System,LARGE,one_time,95000,USD,modelling_assumption,"Same base cleaning pipeline as Search_Oriented_System plus additional tokenizer-training / model-specific data preparation effort, scaled sub-linearly with corpus size.",Scenario assumption — not sourced from real vendor pricing,30
indexing_or_training,Search_Oriented_System,LARGE,one_time,500000.0,USD,modelling_assumption,"Illustrative inverted-index build cost of $0.50 per 1,000 tokens processed, an order-of-magnitude assumption for distributed indexing throughput, not sourced from real vendor pricing.",Scenario assumption — not sourced from real vendor pricing,25
indexing_or_training,LLM_Oriented_System,LARGE,one_time,54400.0,USD,formula_derived,"Derived from the Approach B (adapt existing multilingual model) formula in src/cost_model.py: accelerators(32) x cost_per_hour($2.5) x adaptation_hours(480) + one-time storage provisioning($16,000). Accelerator count and adaptation hours are scaled illustratively with the corpus-size scenario.",Derived from src/cost_model.py Approach B formula,20
engineering_setup,Search_Oriented_System,LARGE,one_time,90000,USD,modelling_assumption,"Illustrative one-time engineering integration cost covering system integration, initial evaluation/benchmark set construction, and QA, assumed to scale sub-linearly with system size.",Scenario assumption — not sourced from real vendor pricing,35
engineering_setup,LLM_Oriented_System,LARGE,one_time,110000,USD,modelling_assumption,"Illustrative one-time engineering integration cost covering model integration, initial evaluation/benchmark set construction, and QA, assumed to scale sub-linearly with system size. Slightly higher than Search_Oriented_System to reflect model-serving integration overhead.",Scenario assumption — not sourced from real vendor pricing,35
storage,Search_Oriented_System,LARGE,recurring_annual,90000,USD,modelling_assumption,"Illustrative annual storage cost for corpus plus inverted-index artifacts, assuming typical cloud object-storage pricing order of magnitude, scaled with corpus/index size.",Scenario assumption — not sourced from real vendor pricing,25
storage,LLM_Oriented_System,LARGE,recurring_annual,70000,USD,modelling_assumption,"Illustrative annual storage cost for corpus plus model checkpoint artifacts, assuming typical cloud object-storage pricing order of magnitude, scaled with corpus/model artifact size.",Scenario assumption — not sourced from real vendor pricing,25
compute,Search_Oriented_System,LARGE,recurring_annual,150000,USD,modelling_assumption,"Illustrative annual compute cost for periodic reindexing cycles as new data arrives, scaled with corpus size assuming reprocessing volume proportional to corpus growth.",Scenario assumption — not sourced from real vendor pricing,30
compute,LLM_Oriented_System,LARGE,recurring_annual,220000,USD,modelling_assumption,"Illustrative annual compute cost for incremental model refresh / periodic re-adaptation cycles, scaled with corpus size. Assumed higher than Search_Oriented_System's reindexing cost since model refresh is more compute-intensive per unit of new data.",Scenario assumption — not sourced from real vendor pricing,30
serving_inference,Search_Oriented_System,LARGE,recurring_annual,180000,USD,modelling_assumption,Illustrative annual serving cost assuming a fixed estimated query volume that scales with corpus/system size; search retrieval assumed cheaper per-request than LLM generation.,Scenario assumption — not sourced from real vendor pricing,35
serving_inference,LLM_Oriented_System,LARGE,recurring_annual,300000,USD,modelling_assumption,Illustrative annual inference-serving cost assuming a fixed estimated request volume that scales with corpus/system size; LLM generation assumed more compute-intensive per request than search retrieval.,Scenario assumption — not sourced from real vendor pricing,35
maintenance_operations,Search_Oriented_System,LARGE,recurring_annual,40000,USD,modelling_assumption,"Illustrative annual cost covering ongoing relevance evaluation, monitoring, and operational engineering support, assumed to scale sub-linearly with system size due to largely fixed headcount overhead.",Scenario assumption — not sourced from real vendor pricing,30
maintenance_operations,LLM_Oriented_System,LARGE,recurring_annual,48000,USD,modelling_assumption,"Illustrative annual cost covering ongoing output-quality evaluation, monitoring, and operational engineering support, assumed to scale sub-linearly with system size due to largely fixed headcount overhead.",Scenario assumption — not sourced from real vendor pricing,30
